yearID,teamID,Wins,Losses,TotalRuns,TotalHRs,TeamERA
2023,BAL,101,61,807,183,3.89
2023,BOS,78,84,772,182,4.52
2023,CHA,61,101,641,171,4.87
2023,CLE,76,86,662,124,3.96
2023,DET,78,84,661,165,4.24
2023,HOU,90,72,827,222,3.94
2023,KCA,56,106,676,163,5.17
2023,LAA,73,89,739,231,4.64
2023,MIN,87,75,778,233,3.87
2023,NYA,82,80,673,219,3.97
2023,OAK,50,112,585,171,5.48
2023,SEA,88,74,758,210,3.74
2023,TBA,99,63,860,230,3.86
2023,TEX,90,72,881,233,4.28
2023,TOR,89,73,746,188,3.78
2023,ARI,84,78,746,166,4.48
2023,ATL,104,58,947,307,4.14
2023,CHN,83,79,819,196,4.08
2023,CIN,82,80,783,198,4.83
2023,COL,59,103,721,163,5.67
2023,LAN,100,62,906,249,4.06
2023,MIA,84,78,666,166,4.21
2023,MIL,92,70,728,165,3.71
2023,NYN,75,87,717,215,4.3
2023,PHI,90,72,796,220,4.03
2023,PIT,76,86,692,159,4.6
2023,SDN,82,80,752,205,3.73
2023,SFN,79,83,674,174,4.02
2023,SLN,71,91,719,209,4.79
2023,WAS,71,91,700,151,5.02
2022,BAL,83,79,674,171,3.97
2022,BOS,78,84,735,155,4.53
2022,CHA,81,81,686,149,3.92
2022,CLE,92,70,698,127,3.46
2022,DET,66,96,557,110,4.04
2022,HOU,106,56,737,214,2.9
2022,KCA,65,97,640,138,4.7
2022,LAA,73,89,623,190,3.77
2022,MIN,78,84,696,178,3.98
2022,NYA,99,63,807,254,3.3
2022,OAK,60,102,568,137,4.52
2022,SEA,90,72,690,197,3.59
2022,TBA,86,76,666,139,3.41
2022,TEX,68,94,707,198,4.22
2022,TOR,92,70,775,200,3.87
2022,ARI,74,88,702,173,4.25
2022,ATL,101,61,789,243,3.46
2022,CHN,74,88,657,159,4.0
2022,CIN,62,100,648,156,4.86
2022,COL,68,94,698,149,5.06
2022,LAN,111,51,847,212,2.8
2022,MIA,69,93,586,144,3.86
2022,MIL,86,76,725,219,3.83
2022,NYN,101,61,772,171,3.57
2022,PHI,87,75,747,205,3.97
2022,PIT,62,100,591,158,4.66
2022,SDN,89,73,705,153,3.81
2022,SFN,81,81,716,183,3.85
2022,SLN,93,69,772,197,3.79
2022,WAS,55,107,603,136,5.0
2021,BAL,52,110,659,195,5.84
2021,BOS,92,70,829,219,4.26
2021,CHA,93,69,796,190,3.73
2021,CLE,80,82,717,203,4.34
2021,DET,77,85,697,179,4.32
2021,HOU,95,67,863,221,3.78
2021,KCA,74,88,686,163,4.64
2021,LAA,77,85,723,190,4.69
2021,MIN,73,89,729,228,4.83
2021,NYA,92,70,711,222,3.74
2021,OAK,86,76,743,199,4.02
2021,SEA,90,72,697,199,4.3
2021,TBA,100,62,857,222,3.67
2021,TEX,60,102,625,167,4.79
2021,TOR,91,71,846,262,3.91
2021,ARI,52,110,679,144,5.11
2021,ATL,88,73,790,239,3.88
2021,CHN,71,91,705,210,4.87
2021,CIN,83,79,786,222,4.4
2021,COL,74,87,739,182,4.82
2021,LAN,106,56,830,237,3.01
2021,MIA,67,95,623,158,3.96
2021,MIL,95,67,738,194,3.5
2021,NYN,77,85,636,176,3.9
2021,PHI,82,80,734,198,4.39
2021,PIT,61,101,609,124,5.08
2021,SDN,79,83,729,180,4.1
2021,SFN,107,55,804,241,3.24
2021,SLN,90,72,706,198,3.98
2021,WAS,65,97,724,182,4.8
2020,BAL,25,35,274,77,4.51
2020,BOS,24,36,292,81,5.58
2020,CHA,35,25,306,96,3.81
2020,CLE,35,25,248,59,3.29
2020,DET,23,35,249,62,5.63
2020,HOU,29,31,279,69,4.31
2020,KCA,26,34,248,68,4.3
2020,LAA,26,34,294,85,5.09
2020,MIN,36,24,269,91,3.58
2020,NYA,33,27,315,94,4.35
2020,OAK,36,24,274,71,3.77
2020,SEA,27,33,254,60,5.03
2020,TBA,40,20,289,80,3.56
2020,TEX,22,38,224,62,5.02
2020,TOR,32,28,302,88,4.6
2020,ARI,25,35,269,58,4.84
2020,ATL,35,25,348,103,4.41
2020,CHN,34,26,265,74,3.99
2020,CIN,31,29,243,90,3.84
2020,COL,26,34,275,63,5.59
2020,LAN,43,17,349,118,3.02
2020,MIA,31,29,263,60,4.86
2020,MIL,29,31,247,75,4.16
2020,NYN,26,34,286,86,4.98
2020,PHI,28,32,306,82,5.14
2020,PIT,19,41,219,59,4.68
2020,SDN,37,23,325,95,3.86
2020,SFN,29,31,299,81,4.64
2020,SLN,30,28,240,51,3.9
2020,WAS,26,34,293,66,5.09
2019,BAL,54,108,729,213,5.59
2019,BOS,84,78,901,245,4.7
2019,CHA,72,89,708,182,4.9
2019,CLE,93,69,769,223,3.76
2019,DET,47,114,582,149,5.24
2019,HOU,107,55,920,288,3.66
2019,KCA,59,103,691,162,5.2
2019,LAA,72,90,769,220,5.12
2019,MIN,101,61,939,307,4.18
2019,NYA,103,59,943,306,4.31
2019,OAK,97,65,845,257,3.97
2019,SEA,68,94,758,239,4.99
2019,TBA,96,66,769,217,3.65
2019,TEX,78,84,810,223,5.06
2019,TOR,67,95,726,247,4.79
2019,ARI,85,77,813,220,4.25
2019,ATL,97,65,855,249,4.19
2019,CHN,84,78,814,256,4.1
2019,CIN,75,87,701,227,4.18
2019,COL,71,91,835,224,5.56
2019,LAN,106,56,886,279,3.37
2019,MIA,57,105,615,146,4.74
2019,MIL,89,73,769,250,4.4
2019,NYN,86,76,791,242,4.24
2019,PHI,81,81,774,215,4.53
2019,PIT,69,93,758,163,5.18
2019,SDN,70,92,682,219,4.6
2019,SFN,77,85,678,167,4.38
2019,SLN,91,71,764,210,3.8
2019,WAS,93,69,873,231,4.27
2018,BAL,47,115,622,188,5.18
2018,BOS,108,54,876,208,3.75
2018,CHA,62,100,656,182,4.83
2018,CLE,91,71,818,216,3.77
2018,DET,64,98,630,135,4.58
2018,HOU,103,59,797,205,3.11
2018,KCA,58,104,638,155,4.94
2018,LAA,80,82,721,214,4.15
2018,MIN,78,84,738,166,4.5
2018,NYA,100,62,851,267,3.78
2018,OAK,97,65,813,227,3.81
2018,SEA,89,73,677,176,4.13
2018,TBA,90,72,716,150,3.74
2018,TEX,67,95,737,194,4.92
2018,TOR,73,89,709,217,4.85
2018,ARI,82,80,693,176,3.72
2018,ATL,90,72,759,175,3.75
2018,CHN,95,68,761,167,3.65
2018,CIN,67,95,696,172,4.63
2018,COL,91,72,780,210,4.33
2018,LAN,92,71,804,235,3.38
2018,MIA,63,98,589,128,4.76
2018,MIL,96,67,754,218,3.73
2018,NYN,77,85,676,170,4.07
2018,PHI,80,82,677,186,4.14
2018,PIT,82,79,692,157,4.0
2018,SDN,66,96,617,162,4.4
2018,SFN,73,89,603,133,3.95
2018,SLN,88,74,759,205,3.85
2018,WAS,82,80,771,191,4.04
2017,BAL,75,87,743,232,4.97
2017,BOS,93,69,785,168,3.7
2017,CHA,67,95,706,186,4.78
2017,CLE,102,60,818,212,3.3
2017,DET,64,98,735,187,5.36
2017,HOU,101,61,896,238,4.12
2017,KCA,80,82,702,193,4.61
2017,LAA,80,82,710,186,4.2
2017,MIN,85,77,815,206,4.59
2017,NYA,91,71,858,241,3.72
2017,OAK,75,87,739,234,4.67
2017,SEA,78,84,750,200,4.46
2017,TBA,80,82,694,228,3.97
2017,TEX,78,84,799,237,4.66
2017,TOR,76,86,693,222,4.42
2017,ARI,93,69,812,220,3.66
2017,ATL,72,90,732,165,4.72
2017,CHN,92,70,822,223,3.95
2017,CIN,68,94,753,219,5.17
2017,COL,87,75,824,192,4.51
2017,LAN,104,58,770,221,3.38
