yearID,awardID,teamID,teamName,lgID,divID,playerName
2008,Silver Slugger,SLN,St. Louis Cardinals,NL,C,Ryan Ludwick
2008,Silver Slugger,CHN,Chicago Cubs,NL,C,Carlos Zambrano
2008,Silver Slugger,FLO,Florida Marlins,NL,E,Hanley Ramirez
2009,Cy Young Award,KCA,Kansas City Royals,AL,C,Zack Greinke
2009,Cy Young Award,SFN,San Francisco Giants,NL,W,Tim Lincecum
2009,Gold Glove,NYA,New York Yankees,AL,E,Mark Teixeira
2009,Gold Glove,DET,Detroit Tigers,AL,C,Placido Polanco
2009,Gold Glove,TBA,Tampa Bay Rays,AL,E,Evan Longoria
2009,Gold Glove,MIN,Minnesota Twins,AL,C,Joe Mauer
2009,Gold Glove,LAA,Los Angeles Angels of Anaheim,AL,W,Torii Hunter
2009,Gold Glove,BAL,Baltimore Orioles,AL,E,Adam Jones
2009,Gold Glove,SEA,Seattle Mariners,AL,W,Ichiro Suzuki
2009,Gold Glove,CHA,Chicago White Sox,AL,C,Mark Buehrle
2009,Gold Glove,NYA,New York Yankees,AL,E,Derek Jeter
2009,Gold Glove,SDN,San Diego Padres,NL,W,Adrian Gonzalez
2009,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Orlando Hudson
2009,Gold Glove,WAS,Washington Nationals,NL,E,Ryan Zimmerman
2009,Gold Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2009,Gold Glove,HOU,Houston Astros,NL,C,Michael Bourn
2009,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Matt Kemp
2009,Gold Glove,PHI,Philadelphia Phillies,NL,E,Shane Victorino
