teamID,yearID,team_name,total_payroll,hitters_salary,pitchers_salary,W,cost_per_win,HR,cost_per_hr,SO,cost_per_strikeout
BOS,2003,Boston Red Sox,102754000,102454000,42209000,95,1081621,238,430478,943.0,44760.33934252386
BOS,2004,Boston Red Sox,138798500,138194000,58682500,98,1416311,222,622495,1189.0,49354.49957947855
BOS,2005,Boston Red Sox,142968125,142968125,61379000,95,1504927,199,718432,1044.0,58792.14559386973
BOS,2006,Boston Red Sox,143778224,143053224,77044994,86,1671839,192,745068,1056.0,72959.27462121213
BOS,2007,Boston Red Sox,161701214,152201214,62922000,96,1684387,166,916874,1042.0,60385.796545105564
BOS,2008,Boston Red Sox,184334958,176334958,67136749,95,1940367,173,1019277,1068.0,62862.12453183521
BOS,2009,Boston Red Sox,164842499,164842499,80878999,95,1735184,212,777558,1120.0,72213.3919642857
BOS,2010,Boston Red Sox,173922333,172822333,79626833,89,1954183,211,819063,1140.0,69848.09912280702
BOS,2011,Boston Red Sox,169512475,169512475,77255333,90,1883471,203,835036,1108.0,69725.0297833935
BOS,2012,Boston Red Sox,267875259,245925259,111845833,69,3882250,165,1490456,1197.0,93438.45697577276
BOS,2013,Boston Red Sox,154597500,154597500,73603000,97,1593788,178,868525,1308.0,56271.40672782875
BOS,2014,Boston Red Sox,224719929,224719929,97623000,71,3165069,123,1826991,1337.0,73016.45474943904
BOS,2015,Boston Red Sox,226203400,226203400,75247500,78,2900043,161,1404990,1148.0,65546.60278745645
BOS,2016,Boston Red Sox,190237011,189697511,95190000,93,2045559,208,912007,1160.0,82060.3448275862
CHA,2000,Chicago White Sox,32426500,32201500,14564000,95,341331,216,149081,960.0,15170.833333333334
CHA,2001,Chicago White Sox,83503667,81553667,40515000,83,1006068,214,381091,998.0,40596.192384769536
CHA,2002,Chicago White Sox,70477833,70477833,16995833,81,870096,217,324782,952.0,17852.76575630252
CHA,2003,Chicago White Sox,54470000,54470000,20470000,86,633372,220,247590,916.0,22347.161572052402
CHA,2004,Chicago White Sox,96657500,96657500,53317000,83,1164548,242,399411,1030.0,51764.077669902916
CHA,2005,Chicago White Sox,82678000,82360000,45280000,99,835131,200,411800,1002.0,45189.62075848303
CHA,2006,Chicago White Sox,103400667,103400667,51604000,90,1148896,236,438138,1056.0,48867.42424242424
CHA,2007,Chicago White Sox,115051833,115051833,44878500,72,1597942,190,605535,1149.0,39058.74673629243
CHA,2008,Chicago White Sox,123427332,123427332,50664000,89,1386823,235,525222,1016.0,49866.14173228347
CHA,2009,Chicago White Sox,149123500,149123500,86355000,79,1887639,184,810453,1022.0,84496.08610567515
CHA,2010,Chicago White Sox,105950000,104750000,54765000,88,1203977,177,591807,922.0,59398.04772234273
CHA,2011,Chicago White Sox,158789000,158789000,87460000,79,2009987,154,1031097,989.0,88432.76036400405
CHA,2012,Chicago White Sox,99844000,99844000,42896000,85,1174635,211,473194,1203.0,35657.52285951787
CHA,2013,Chicago White Sox,198037090,198037090,123044084,63,3143445,148,1338088,1207.0,101942.07456503728
CHA,2014,Chicago White Sox,116505500,116505500,74872500,73,1595965,155,751648,1362.0,54972.46696035242
CHA,2015,Chicago White Sox,112923700,112923700,78583700,76,1485838,136,830321,1231.0,63837.286758732735
